round	killer_count	angle4_count	improved	level	commit
1	3	2	baseline	-	e4bd4a9
2	3	3	no	L0	504f220
3	3	1	partial	L0	b8b6c92
4	3	3	shifted	L2	01ba066
5	3	3	no	L1	fa3dadf
6	3	3	shifted	L1	bcb3a97
7	3	3	shifted	L0	67e6026
8	3	3	shifted	L1	dbb30a5
9	3	3	shifted	L1	37bea92
10	3	3	shifted	L1	ce6663e
11	3	3	shifted	L1	7cf58fe
12	3	3	shifted	L1	c450fe3
13	3	3	shifted	L1	e5b364d
14	3	3	shifted	L1	02cb637
15	3	3	shifted	L0	8d548c5
16	3	3	shifted	L1	0e38fc6
17	3	3	shifted	L1	09181a1
18	3	3	shifted	L0	8f08afc
